,d18Op,lat,lon
22,-18.648832321166992,63.47916666666667,-95.0125
23,-18.123666763305664,63.47916666666667,-92.5125
24,-18.045902252197266,63.59583333333333,-90.2375
25,-19.525007247924805,65.37916666666666,-119.99583333333334
26,-19.684890747070312,65.37916666666666,-117.50416666666666
27,-20.12994384765625,65.37916666666666,-115.0125
28,-19.95175552368164,65.37916666666666,-112.5125
29,-19.90277671813965,65.37916666666666,-110.0125
30,-19.671831130981445,65.37916666666666,-107.5125
31,-19.53973960876465,65.37916666666666,-105.00416666666666
32,-19.437917709350586,65.37916666666666,-102.5125
33,-19.59832000732422,65.37916666666666,-100.0125
34,-19.67966079711914,65.37916666666666,-97.5125
35,-19.59356689453125,65.37916666666666,-95.0125
36,-19.43035125732422,65.37916666666666,-92.5125
37,-19.306947708129883,65.37916666666666,-90.0125
